3  2921.88	3.010669e-01	7.005918e+01	-7.894708e-01	1.090960e-02	6.988822e-01	
3  546.659	3.011937e-01	6.992022e+01	-1.050335e+00	-3.201609e-01	6.987551e-01	
3  531.871	3.014929e-01	7.036784e+01	-1.086935e+00	-3.631752e-01	6.984566e-01	
2  117.264	2.978163e-01	7.043427e+01	-9.111304e-01	-2.314856e-01	7.021332e-01	
2  49.8854	2.937686e-01	7.036145e+01	-1.069702e+00	1.511250e-01	7.061809e-01	
2  45.8393	2.887787e-01	7.056475e+01	-1.182593e+00	6.088473e-01	7.111711e-01	
22  15.5676	2.896342e-01	7.050313e+01	-1.170041e+00	6.269836e-01	7.103154e-01	
117  7.36957	2.881765e-01	7.053368e+01	-1.114786e+00	4.560088e-01	7.117732e-01	
219  5.98099	2.868403e-01	7.063507e+01	-1.041978e+00	2.449546e-01	7.131095e-01	
179  5.13858	2.869317e-01	7.050900e+01	-1.062153e+00	3.433919e-01	7.130180e-01	
51  6.16257	2.901845e-01	7.053735e+01	-1.044323e+00	2.324270e-01	7.097652e-01	
216  1.8868	2.940196e-01	7.060832e+01	-1.073279e+00	2.302035e-01	7.059302e-01	
76  2.80407	2.916221e-01	7.065758e+01	-1.042580e+00	1.270379e-01	7.083278e-01	
67  2.8681	2.914415e-01	7.063389e+01	-1.050923e+00	1.920147e-01	7.085083e-01	
63  2.57576	2.936566e-01	7.038970e+01	-1.064834e+00	2.693617e-01	7.062929e-01	
117  3.49461	2.927935e-01	7.034705e+01	-1.006629e+00	8.534142e-02	7.071559e-01	
196  2.46693	2.936203e-01	7.012724e+01	-1.054979e+00	2.753880e-01	7.063288e-01	
17  2.35726	2.887215e-01	7.071232e+01	-1.091162e+00	3.422564e-01	7.112284e-01	
109  2.17893	2.907907e-01	7.064579e+01	-1.102006e+00	3.621753e-01	7.091591e-01	
24  3.11887	2.885985e-01	7.087843e+01	-1.089762e+00	3.140161e-01	7.113517e-01	
221  4.22203	2.921633e-01	7.075415e+01	-1.118480e+00	3.924382e-01	7.077867e-01	
12  6.53103	2.937558e-01	7.072277e+01	-1.150886e+00	4.508627e-01	7.061942e-01	
252  1.79315	2.932673e-01	7.068688e+01	-1.101546e+00	3.059719e-01	7.066826e-01	
448  1.68152	2.916630e-01	7.075168e+01	-1.096351e+00	3.028872e-01	7.082871e-01	
70  4.58035	2.892845e-01	7.076429e+01	-1.116743e+00	4.334823e-01	7.106655e-01	
211  4.92347	2.868859e-01	7.103504e+01	-1.082372e+00	2.731618e-01	7.130645e-01	
56  5.42128	2.886435e-01	7.111403e+01	-1.172230e+00	5.291013e-01	7.113071e-01	
26  5.51558	2.909736e-01	7.116063e+01	-1.151851e+00	4.243304e-01	7.089770e-01	
103  5.65239	2.913921e-01	7.107824e+01	-1.072294e+00	1.281075e-01	7.085584e-01	
393  2.73368	2.926165e-01	7.083543e+01	-1.101349e+00	2.655640e-01	7.073337e-01	
113  2.08282	2.959739e-01	7.042958e+01	-1.065762e+00	2.184651e-01	7.039757e-01	
121  1.31099	2.948427e-01	7.039067e+01	-1.018431e+00	5.426573e-02	7.051068e-01	
80  0.665926	2.949298e-01	7.047197e+01	-1.050886e+00	1.502798e-01	7.050198e-01	
110  1.97297	2.938731e-01	7.068817e+01	-1.056415e+00	1.256474e-01	7.060768e-01	
3  5.08466	2.940334e-01	7.077357e+01	-1.041653e+00	7.232708e-02	7.059166e-01	
155  2.23029	2.953914e-01	7.050660e+01	-1.071714e+00	2.301968e-01	7.045583e-01	
379  1.59979	2.927673e-01	7.047549e+01	-1.031810e+00	1.275591e-01	7.071823e-01	
21  2.62298	2.947688e-01	7.036859e+01	-1.039969e+00	1.192415e-01	7.051806e-01	
47  0.276175	2.976304e-01	7.022247e+01	-1.019583e+00	6.099935e-02	7.023188e-01	
42  1.80458	2.975416e-01	7.017340e+01	-1.003032e+00	-1.188201e-02	7.024076e-01	
