#	 Omega_m	 H0	 w0_fld	 wa_fld	 Omega0_fld	 -logLike	 TZ_DESY5_SNe	 TZ_R_lA	 TZ_bao_DESI_Y1_DV	 TZ_bao_DESI_Y1_DA_DH	 Total
	 0.2999801	 70.00072	 -1.000069	 0.0004800776	 0.6999688	 0.0	 3.860738974777214e-06	 1.5866429325372203e-05	 7.422464558835605e-07	 6.664890696253582e-06	 2.713430545228656e-05
	 0.2989988	 70.10072	 -1.011912	 0.03491869	 0.7009502	 0.03	 0.053752242776399964	 0.0010297478515996054	 7.708694191112395e-06	 0.0015743402413379245	 0.0563640395635286
	 0.2980221	 70.20071999999999	 -1.023568	 0.06862093	 0.7019271	 0.11	 0.21348711453804783	 0.0037302127112534894	 3.0375854915671573e-05	 0.006339029714978484	 0.22358673281919547
	 0.2970346	 70.30071999999998	 -1.035138	 0.1021238	 0.7029148	 0.25	 0.4788842500928898	 0.00842957398652116	 8.168301969650202e-05	 0.013931411202099307	 0.5013269183012068
	 0.2961005	 70.40071999999998	 -1.046615	 0.1343408	 0.703849	 0.44	 0.8502777837357166	 0.012765229632791846	 0.00011728520787376634	 0.026158421124299083	 0.8893187197006813
	 0.2951276	 70.50071999999997	 -1.058214	 0.1677272	 0.7048221	 0.69	 1.325488821457687	 0.020516783716348595	 0.0001848620970769555	 0.04097839488024384	 1.3871688621513565
	 0.2941441	 70.60071999999997	 -1.069658	 0.2008062	 0.7058057	 1.0	 1.9051641596588484	 0.031447884609337666	 0.00030527941603481206	 0.057743611367882204	 1.994660935052103
	 0.2932131	 70.70071999999996	 -1.081158	 0.2330124	 0.7067369	 1.36	 2.589533044182796	 0.04001990131759384	 0.000365029964325147	 0.08152939243658547	 2.7114473679013007
	 0.2922649	 70.80071999999996	 -1.092343	 0.2645111	 0.7076852	 1.77	 3.3786479134080603	 0.052178085616916156	 0.0005216893830784695	 0.10579105107245604	 3.537138739480511
	 0.2913211	 70.90071999999995	 -1.103637	 0.2962833	 0.7086291	 2.24	 4.270405212249482	 0.06576679448499867	 0.0006719115905896843	 0.1347173937974992	 4.471561312122569
	 0.2903607	 71.00071999999994	 -1.114886	 0.3281409	 0.7095897	 2.76	 5.2648147537059335	 0.083160236213526	 0.0008833476266839902	 0.16554962679298063	 5.514407964339124
	 0.289434	 71.10071999999994	 -1.125797	 0.3582701	 0.7105165	 3.33	 6.3653237062350785	 0.09913891282098054	 0.0011514231893592663	 0.19971528554639614	 6.665329327791814
	 0.2885271	 71.20071999999993	 -1.136885	 0.3885567	 0.7114235	 3.96	 7.567344848139331	 0.11331313304434336	 0.0013536160686672422	 0.24191823159003978	 7.923929828842381
	 0.2875974	 71.30071999999993	 -1.148063	 0.4196243	 0.7123534	 4.65	 8.868800489270962	 0.133311241874919	 0.001598838370183963	 0.28639121680173907	 9.290101786317804
	 0.286692	 71.40071999999992	 -1.158963	 0.4491878	 0.7132589	 5.38	 10.275925294414636	 0.15058656248660643	 0.001911373177388232	 0.33511816010333945	 10.76354139018197
	 0.2857829	 71.50071999999992	 -1.169867	 0.4789016	 0.7141681	 6.17	 11.783439773169631	 0.17105146792270665	 0.0022621907821083385	 0.3871146806877896	 12.343868112562236
	 0.2848715	 71.60071999999991	 -1.1807	 0.5084598	 0.7150797	 7.02	 13.391993159195028	 0.1947112603082982	 0.0026784086385935263	 0.44146538095727283	 14.03084820909919
	 0.2839984	 71.7007199999999	 -1.191439	 0.5369313	 0.7159529	 7.91	 15.104180242575	 0.21191878954142884	 0.0030794128070204844	 0.5051210532806207	 15.82429949820407
	 0.2831062	 71.8007199999999	 -1.202229	 0.5658752	 0.7168453	 8.86	 16.914615446595025	 0.23445395091542778	 0.0035461426054420363	 0.5712051673608353	 17.723820707476726
	 0.2822145	 71.9007199999999	 -1.21292	 0.5944881	 0.7177371	 9.86	 6.490939670015842	 3.672925097231265	 0.16511810763703838	 1.32055460080712	 11.649537475691265
